_sha,_status,_applied_params_hash,_residual,_elapsed_ms,_num_variables,_num_constraints,_num_conflicts,_num_branches,_num_binary_propagations,_num_integer_propagations,_num_restarts,n_vars,n_cons,n_enforce,linear_coef_max,linear_terms_max,linear_terms_total,domain_size_max,domain_size_median,wide_int_count,domain_max,has_objective,objective_terms,n_assumptions,n_search_strategy,kind_linear,kind_bool_or,kind_bool_and,kind_at_most_one,kind_exactly_one,kind_bool_xor,kind_all_diff,kind_element,kind_circuit,kind_routes,kind_table,kind_automaton,kind_inverse,kind_reservoir,kind_interval,kind_no_overlap,kind_no_overlap_2d,kind_cumulative,kind_lin_max,kind_int_div,kind_int_mod,kind_int_prod
ba0fe698c28be555ec428f05daa2aa901ecf9694c6c23043b76a91a7a847b111,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,1.0615059834038845,25129,1316,15565,567,5512,237329,138397,5,6612,15565,12472,1.0,21,10164,2000000001.0,2.0,588,1000000000,True,70,0,0,6349,5395,3744,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1963519912cbd33d8d63cf99f6bcd2e64aad8b89e4a0334bed64a35e3d93360,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.6858083277766207,573378,10404,122534,40296,230447,43086273,12921477,188,51182,122534,99889,1.0,116,86622,2000000001.0,2.0,3695,1000000000,True,385,0,0,53742,41078,27271,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbc04bca5112cb9362f9db9bb007b46376c1488fed34d7b18df67290b22fc099,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.48394968053234866,422905,11127,136453,35669,198723,48620016,12323899,122,57294,136453,112565,1.0,111,97191,2000000001.0,2.0,3847,1000000000,True,364,0,0,62364,44686,28971,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fe6606b7880e2c63079285e403124a757f7a54ff8ff326e19ee50d5ccba716a,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.3325532090367318,49854.2,4358,55027,13604,185339,9076776,3592423,64,23283,55027,44356,1.0,66,35919,2000000001.0,2.0,1956,1000000000,True,217,0,0,21958,19251,13573,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01a1d9063de56c5adc87428afe7ffefcf1deb58cbf1d7e5cecf8362cbd571396,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.2849807566885003,62558.7,5306,63224,15713,102256,12398222,3789306,87,27496,63224,50873,1.0,71,41790,2000000001.0,2.0,2127,1000000000,True,238,0,0,25107,22432,15413,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7fa34442c7e8f082f59d288a2714129f51f43774aa2e658712e5da54cfe8635,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.2263435287547999,46683.7,4820,59596,9931,192717,9019253,3631940,41,25166,59596,48377,1.0,66,40461,2000000001.0,2.0,2205,1000000000,True,217,0,0,24911,20377,14063,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b848342049b15eda055c33e85c1eb5b7dd0470cdddc487c913c4f4edb41c1177,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.18113800540443004,5405.46,1674,20478,3722,41473,1509038,625152,15,8668,20478,16347,1.0,26,13143,2000000001.0,2.0,730,1000000000,True,91,0,0,8038,7232,5106,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a65ee543b1402a4a356d6b8f8fd45088fd2f68fbbe970c160248bca9cb481181,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.16755918629647049,6289.21,1863,22077,2402,15308,954615,419754,10,9329,22077,17760,1.0,26,14816,2000000001.0,2.0,773,1000000000,True,91,0,0,9198,7596,5180,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68047eeb3643ffa54ee8e6b29d0ca3135b12f9e0f2e30d4b325f2a5a6509bfd5,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.1661486907977885,6177.95,1850,21892,9621,78066,6887232,1730879,32,9272,21892,17614,1.0,26,14772,2000000001.0,2.0,819,1000000000,True,91,0,0,9113,7525,5152,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00d6004a1249fd1379ebc735c77d151f084727ad328b69df623d4a7b4d63f5f6,OPTIMAL,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,0.15278187339420501,5990.7,1850,21892,10712,125224,5329015,1938574,43,9272,21892,17614,1.0,26,14772,2000000001.0,2.0,819,1000000000,True,91,0,0,9113,7525,5152,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
